student_id,first_name,last_name,age,email,country,attendance,assignment_completed,grade
1,Rebeca,Maryon,20,rmaryon0@networkadvertising.org,Slovenia,65.24,TRUE,96.93
2,Gerry,Madsen,24,gmadsen1@msn.com,Poland,60.43,TRUE,90.39
3,Wanids,Uridge,25,wuridge2@nature.com,France,81.96,TRUE,90.57
4,Bailie,Huffy,25,bhuffy3@irs.gov,France,21.67,TRUE,99.41
5,Renata,Broadnicke,18,rbroadnicke4@princeton.edu,Indonesia,1.42,FALSE,39.72
6,Petronille,Goodinge,25,pgoodinge5@ucsd.edu,China,64.15,FALSE,34.55
7,Hildegarde,Brookshaw,23,hbrookshaw6@techcrunch.com,China,69.24,TRUE,18.74
8,Saloma,Lghan,23,slghan7@senate.gov,Japan,46.23,TRUE,7.08
9,Maureen,Malin,20,mmalin8@simplemachines.org,Sweden,10.49,FALSE,46.35
10,Giusto,Synnot,24,gsynnot9@soundcloud.com,Morocco,73.44,TRUE,91.59
11,Clair,Vivien,21,cviviena@aol.com,Peru,13.73,TRUE,11.7
12,Agna,L'Episcopio,18,alepiscopiob@google.de,Ukraine,11.78,FALSE,80.18
13,Pen,Condliffe,20,pcondliffec@skyrock.com,Uruguay,90.73,TRUE,13.82
14,Cordie,Fitton,19,cfittond@newyorker.com,Canada,99.86,FALSE,36.7
15,Corissa,Beiderbeck,20,cbeiderbecke@alibaba.com,China,4.04,FALSE,37.84
16,Yvon,Fearon,24,yfearonf@pbs.org,Sweden,46.1,TRUE,66.52
17,Stanislas,Lowing,25,slowingg@google.pl,France,10.12,TRUE,42.54
18,Gae,Yanne,24,gyanneh@loc.gov,South Africa,37.32,TRUE,63.33
19,Valida,Cluley,24,vcluleyi@smugmug.com,Russia,89.7,TRUE,8.83
20,Hanson,Harteley,19,hharteleyj@upenn.edu,Croatia,2.62,TRUE,69.55
21,Rodina,Glasper,22,rglasperk@github.com,Russia,77.98,TRUE,35.55
22,Paco,Rumsby,22,prumsbyl@census.gov,Gabon,50.79,TRUE,85.2
23,Hi,Banaszczyk,20,hbanaszczykm@yandex.ru,Spain,85.63,TRUE,24.48
24,Rogers,O'Finan,18,rofinann@apple.com,China,2.97,FALSE,16.06
25,Gerek,Deex,20,gdeexo@csmonitor.com,China,41.73,TRUE,58.3
26,Bartolomeo,Lots,19,blotsp@examiner.com,China,82.94,TRUE,30.39
27,Egor,Emerson,23,eemersonq@liveinternet.ru,Thailand,85.77,FALSE,33.02
28,Jerrold,Livzey,21,jlivzeyr@spiegel.de,Chad,39.41,FALSE,61.21
29,Arthur,Gladhill,24,agladhills@reference.com,Poland,37.75,TRUE,19.87
30,Quinta,Denniss,25,qdennisst@jalbum.net,United States,60.78,TRUE,77.71
31,Shirleen,Sparhawk,18,ssparhawku@umn.edu,South Africa,72.02,FALSE,32.74
32,Bradly,Swiers,18,bswiersv@soundcloud.com,Russia,86.55,FALSE,33.09
33,Augusta,Kaminski,25,akaminskiw@artisteer.com,Russia,87.68,FALSE,84.16
34,Arleta,Hairesnape,21,ahairesnapex@123-reg.co.uk,Morocco,3.1,TRUE,87.5
35,Bram,Grunguer,22,bgrunguery@digg.com,Madagascar,77.35,TRUE,91.72
36,Alberik,Lillico,23,alillicoz@sakura.ne.jp,China,42.58,TRUE,46.24
37,Carmina,Lunney,20,clunney10@shop-pro.jp,Russia,98.22,TRUE,74.53
38,Urbain,Bayliss,22,ubayliss11@squarespace.com,China,34.86,FALSE,88.15
39,Emylee,Albutt,25,ealbutt12@admin.ch,Indonesia,49.08,TRUE,96.47
40,Brig,Hanham,21,bhanham13@php.net,Indonesia,89.52,TRUE,42.93
41,Heidie,Harrismith,22,hharrismith14@noaa.gov,Norway,98.78,TRUE,29.78
42,Lizzie,Sibbson,18,lsibbson15@taobao.com,Canada,84.16,FALSE,20.73
43,Ardine,Sarton,23,asarton16@tripod.com,Indonesia,39.08,TRUE,29.81
44,Lesley,MacKimmie,20,lmackimmie17@theatlantic.com,China,7.48,TRUE,30.78
